File	Column 1	Column 2
dialjournallitcrit18chicrich.tsv	Aspatria	LOCATION
dialjournallitcrit18chicrich.tsv	Assem	LOCATION
dialjournallitcrit17chicrich.tsv	Assisi	LOCATION
dialjournallitcrit16chicrich.tsv	Assissi	LOCATION
dialjournallitcrit19chicrich.tsv	Assoc. M. Inst.	LOCATION
dialjournallitcrit15chicrich.tsv	Assyria	LOCATION
dialjournallitcrit15chicrich.tsv	Astacus	LOCATION
dialjournallitcrit16chicrich.tsv	Astronomy	LOCATION
dialjournallitcrit19chicrich.tsv	Asymmetron	LOCATION
dialjournallitcrit17chicrich.tsv	Atalanta	LOCATION
dialjournallitcrit15chicrich.tsv	Athabasca	LOCATION
dialjournallitcrit16chicrich.tsv	Atharva Veda	LOCATION
dialjournallitcrit16chicrich.tsv	Athen	LOCATION
dialjournallitcrit15chicrich.tsv	Athens	LOCATION
dialjournallitcrit15chicrich.tsv	Atlanta	LOCATION
dialjournallitcrit16chicrich.tsv	Atlanta Campaigns	LOCATION
dialjournallitcrit15chicrich.tsv	Atlantic	LOCATION
dialjournallitcrit15chicrich.tsv	Atlantic Coast	LOCATION
dialjournallitcrit15chicrich.tsv	Atlantick	LOCATION
dialjournallitcrit15chicrich.tsv	Atlantic Monthly	LOCATION
dialjournallitcrit16chicrich.tsv	Atlantic Ocean	LOCATION
dialjournallitcrit18chicrich.tsv	Attica	LOCATION
dialjournallitcrit16chicrich.tsv	Atticum	LOCATION
dialjournallitcrit18chicrich.tsv	Auberon	LOCATION
dialjournallitcrit19chicrich.tsv	Aubert	LOCATION
dialjournallitcrit16chicrich.tsv	Aubyn	LOCATION
dialjournallitcrit18chicrich.tsv	Audsley	LOCATION
dialjournallitcrit18chicrich.tsv	Audubon	LOCATION
dialjournallitcrit19chicrich.tsv	Augsburg	LOCATION
dialjournallitcrit15chicrich.tsv	Augusta	LOCATION
dialjournallitcrit15chicrich.tsv	Augustan Rome	LOCATION
dialjournallitcrit16chicrich.tsv	Augustin	LOCATION
dialjournallitcrit16chicrich.tsv	Augustine	LOCATION
dialjournallitcrit19chicrich.tsv	Aulis	LOCATION
dialjournallitcrit17chicrich.tsv	Aurora	LOCATION
dialjournallitcrit16chicrich.tsv	Aurora Leigh	LOCATION
dialjournallitcrit18chicrich.tsv	Austerlitz	LOCATION
dialjournallitcrit15chicrich.tsv	Austin	LOCATION
dialjournallitcrit15chicrich.tsv	Austra	LOCATION
dialjournallitcrit15chicrich.tsv	Austral	LOCATION
dialjournallitcrit16chicrich.tsv	Australasia	LOCATION
dialjournallitcrit15chicrich.tsv	Australia	LOCATION
dialjournallitcrit15chicrich.tsv	Austria	LOCATION
dialjournallitcrit16chicrich.tsv	Autun	LOCATION
dialjournallitcrit16chicrich.tsv	Auvergne	LOCATION
dialjournallitcrit18chicrich.tsv	Ave America	LOCATION
dialjournallitcrit17chicrich.tsv	Aventine	LOCATION
dialjournallitcrit18chicrich.tsv	Aventine Hill	LOCATION
dialjournallitcrit15chicrich.tsv	Avignon	LOCATION
dialjournallitcrit16chicrich.tsv	Avon	LOCATION
dialjournallitcrit17chicrich.tsv	Aylesbury	LOCATION
dialjournallitcrit19chicrich.tsv	Ayrshire Lega	LOCATION
dialjournallitcrit19chicrich.tsv	Ayrshire Legatees	LOCATION
dialjournallitcrit16chicrich.tsv	Aytoun	LOCATION
dialjournallitcrit15chicrich.tsv	B.A.	LOCATION
dialjournallitcrit16chicrich.tsv	B.A. Illus.	LOCATION
dialjournallitcrit16chicrich.tsv	B.A. Lond.	LOCATION
dialjournallitcrit15chicrich.tsv	B.C.	LOCATION
dialjournallitcrit15chicrich.tsv	B.D.	LOCATION
dialjournallitcrit15chicrich.tsv	B.D. New York	LOCATION
dialjournallitcrit16chicrich.tsv	B.L.	LOCATION
dialjournallitcrit16chicrich.tsv	B.S.	LOCATION
dialjournallitcrit19chicrich.tsv	Baader	LOCATION
dialjournallitcrit19chicrich.tsv	Babar	LOCATION
dialjournallitcrit18chicrich.tsv	Babette	LOCATION
dialjournallitcrit17chicrich.tsv	Babylon	LOCATION
dialjournallitcrit16chicrich.tsv	Babylonia	LOCATION
dialjournallitcrit17chicrich.tsv	Babylonians	LOCATION
dialjournallitcrit15chicrich.tsv	Back Bay	LOCATION
dialjournallitcrit15chicrich.tsv	Bacon	LOCATION
dialjournallitcrit15chicrich.tsv	Bacteria	LOCATION
dialjournallitcrit17chicrich.tsv	Baden	LOCATION
dialjournallitcrit19chicrich.tsv	Baedeker	LOCATION
dialjournallitcrit16chicrich.tsv	Bagheera	LOCATION
dialjournallitcrit17chicrich.tsv	Bagrot Valley	LOCATION
dialjournallitcrit16chicrich.tsv	Bailie	LOCATION
dialjournallitcrit17chicrich.tsv	Bakhtiyari	LOCATION
dialjournallitcrit17chicrich.tsv	Bakounines	LOCATION
dialjournallitcrit19chicrich.tsv	Bakutus	LOCATION
dialjournallitcrit18chicrich.tsv	Bal	LOCATION
dialjournallitcrit19chicrich.tsv	Balanoglossus	LOCATION
dialjournallitcrit16chicrich.tsv	Balcarres	LOCATION
dialjournallitcrit16chicrich.tsv	Balcony	LOCATION
dialjournallitcrit17chicrich.tsv	Balkan Mountains	LOCATION
dialjournallitcrit16chicrich.tsv	Balkan States	LOCATION
dialjournallitcrit18chicrich.tsv	Balkistan	LOCATION
dialjournallitcrit19chicrich.tsv	Ballantine	LOCATION
dialjournallitcrit18chicrich.tsv	Ballantrae	LOCATION
dialjournallitcrit19chicrich.tsv	Ballinahmch	LOCATION
dialjournallitcrit15chicrich.tsv	Balliol	LOCATION
dialjournallitcrit15chicrich.tsv	Balmforth	LOCATION
dialjournallitcrit16chicrich.tsv	Balmoral	LOCATION
dialjournallitcrit16chicrich.tsv	Baloo	LOCATION
dialjournallitcrit19chicrich.tsv	Balston	LOCATION
dialjournallitcrit15chicrich.tsv	Balti	LOCATION
dialjournallitcrit15chicrich.tsv	Baltimore	LOCATION
dialjournallitcrit15chicrich.tsv	Baltimore Sanitation	LOCATION
dialjournallitcrit15chicrich.tsv	Baltistan	LOCATION
dialjournallitcrit15chicrich.tsv	Balzac	LOCATION
dialjournallitcrit17chicrich.tsv	Bamberg	LOCATION
dialjournallitcrit17chicrich.tsv	Banbury	LOCATION
dialjournallitcrit15chicrich.tsv	Bancroft	LOCATION
dialjournallitcrit15chicrich.tsv	Bandelier	LOCATION
dialjournallitcrit17chicrich.tsv	Bangkok	LOCATION
dialjournallitcrit17chicrich.tsv	Bangle	LOCATION
dialjournallitcrit16chicrich.tsv	Bangor	LOCATION
dialjournallitcrit18chicrich.tsv	Bankside	LOCATION
dialjournallitcrit16chicrich.tsv	Bannockburn	LOCATION
dialjournallitcrit17chicrich.tsv	Bantu	LOCATION
dialjournallitcrit19chicrich.tsv	Barbados	LOCATION
dialjournallitcrit16chicrich.tsv	Barbary	LOCATION
dialjournallitcrit17chicrich.tsv	Barbary States	LOCATION
dialjournallitcrit16chicrich.tsv	Barbizon	LOCATION
dialjournallitcrit15chicrich.tsv	Barcelona	LOCATION
dialjournallitcrit19chicrich.tsv	Barclay	LOCATION
dialjournallitcrit19chicrich.tsv	Barclays	LOCATION
dialjournallitcrit18chicrich.tsv	Baretta	LOCATION
dialjournallitcrit17chicrich.tsv	Bar Harbor	LOCATION
dialjournallitcrit19chicrich.tsv	Barn	LOCATION
dialjournallitcrit17chicrich.tsv	Barnard	LOCATION
dialjournallitcrit19chicrich.tsv	Barncraig	LOCATION
dialjournallitcrit15chicrich.tsv	Baroda	LOCATION
dialjournallitcrit15chicrich.tsv	Baronet	LOCATION
dialjournallitcrit17chicrich.tsv	Baron Marbot	LOCATION
dialjournallitcrit18chicrich.tsv	Barras	LOCATION
dialjournallitcrit16chicrich.tsv	Barre	LOCATION
dialjournallitcrit17chicrich.tsv	Barren	LOCATION
dialjournallitcrit18chicrich.tsv	Barrois	LOCATION
dialjournallitcrit15chicrich.tsv	Barrow	LOCATION
dialjournallitcrit16chicrich.tsv	Barrows	LOCATION
dialjournallitcrit16chicrich.tsv	Barstow	LOCATION
dialjournallitcrit15chicrich.tsv	Bart	LOCATION
dialjournallitcrit15chicrich.tsv	Bart.	LOCATION
dialjournallitcrit17chicrich.tsv	Bartlett	LOCATION
dialjournallitcrit19chicrich.tsv	Bascom	LOCATION
dialjournallitcrit19chicrich.tsv	Bashan	LOCATION
dialjournallitcrit15chicrich.tsv	Bassett	LOCATION
dialjournallitcrit18chicrich.tsv	Bast	LOCATION
dialjournallitcrit18chicrich.tsv	Bastile	LOCATION
dialjournallitcrit15chicrich.tsv	Bastille	LOCATION
dialjournallitcrit18chicrich.tsv	Bates	LOCATION
dialjournallitcrit17chicrich.tsv	Battle Creek	LOCATION
dialjournallitcrit18chicrich.tsv	Battlefield	LOCATION
dialjournallitcrit16chicrich.tsv	Battye	LOCATION
dialjournallitcrit19chicrich.tsv	Bavaria	LOCATION
dialjournallitcrit16chicrich.tsv	Bay	LOCATION
dialjournallitcrit16chicrich.tsv	Bayard	LOCATION
dialjournallitcrit15chicrich.tsv	Bay Leaves	LOCATION
dialjournallitcrit17chicrich.tsv	Baylor	LOCATION
dialjournallitcrit16chicrich.tsv	Baynes	LOCATION
dialjournallitcrit15chicrich.tsv	Bay Psalm	LOCATION
dialjournallitcrit15chicrich.tsv	Bayreuth	LOCATION
dialjournallitcrit17chicrich.tsv	Bay Ridge	LOCATION
dialjournallitcrit18chicrich.tsv	Bay St. Louis	LOCATION
dialjournallitcrit19chicrich.tsv	Bayswater	LOCATION
dialjournallitcrit17chicrich.tsv	Bay View	LOCATION
dialjournallitcrit19chicrich.tsv	Bazaine	LOCATION
dialjournallitcrit15chicrich.tsv	Bea	LOCATION
dialjournallitcrit17chicrich.tsv	Beacon	LOCATION
dialjournallitcrit17chicrich.tsv	Beacon Street	LOCATION
dialjournallitcrit19chicrich.tsv	Beak	LOCATION
dialjournallitcrit19chicrich.tsv	Beam	LOCATION
dialjournallitcrit18chicrich.tsv	Beardsley	LOCATION
dialjournallitcrit15chicrich.tsv	Bearsfoot	LOCATION
dialjournallitcrit17chicrich.tsv	Beast	LOCATION
dialjournallitcrit19chicrich.tsv	Beatrix	LOCATION
dialjournallitcrit18chicrich.tsv	Beau Austin	LOCATION
dialjournallitcrit15chicrich.tsv	Beau Brummell	LOCATION
dialjournallitcrit16chicrich.tsv	Beaulieu	LOCATION
dialjournallitcrit16chicrich.tsv	Beaumont	LOCATION
dialjournallitcrit15chicrich.tsv	Beautie	LOCATION
dialjournallitcrit15chicrich.tsv	Beautiful Mountains	LOCATION
dialjournallitcrit16chicrich.tsv	Beaux	LOCATION
dialjournallitcrit17chicrich.tsv	Becket	LOCATION
dialjournallitcrit15chicrich.tsv	Bedford	LOCATION
dialjournallitcrit18chicrich.tsv	Bedfordshire	LOCATION
dialjournallitcrit18chicrich.tsv	Bee Pastures	LOCATION
dialjournallitcrit15chicrich.tsv	Behring Sea	LOCATION
dialjournallitcrit15chicrich.tsv	Belfast	LOCATION
dialjournallitcrit19chicrich.tsv	Belfry	LOCATION
dialjournallitcrit15chicrich.tsv	Belgium	LOCATION
dialjournallitcrit16chicrich.tsv	Belgravia	LOCATION
dialjournallitcrit15chicrich.tsv	Bella	LOCATION
dialjournallitcrit16chicrich.tsv	Bellaggio	LOCATION
dialjournallitcrit15chicrich.tsv	Bellosguardo	LOCATION
dialjournallitcrit16chicrich.tsv	Belmont	LOCATION
dialjournallitcrit17chicrich.tsv	Beloit	LOCATION
dialjournallitcrit18chicrich.tsv	Beloit College	LOCATION
dialjournallitcrit15chicrich.tsv	Benares	LOCATION
dialjournallitcrit18chicrich.tsv	Benedictines	LOCATION
dialjournallitcrit17chicrich.tsv	Benguella	LOCATION
dialjournallitcrit17chicrich.tsv	Benja	LOCATION
dialjournallitcrit15chicrich.tsv	Benjamin	LOCATION
dialjournallitcrit18chicrich.tsv	Benneke	LOCATION
dialjournallitcrit18chicrich.tsv	Benoit	LOCATION
dialjournallitcrit19chicrich.tsv	Benthamee	LOCATION
dialjournallitcrit16chicrich.tsv	Bentley	LOCATION
dialjournallitcrit16chicrich.tsv	Beowulf	LOCATION
dialjournallitcrit16chicrich.tsv	Bercy	LOCATION
dialjournallitcrit16chicrich.tsv	Beresina	LOCATION
dialjournallitcrit19chicrich.tsv	Bering Sea Arbitration	LOCATION
dialjournallitcrit15chicrich.tsv	Berkeley	LOCATION
dialjournallitcrit17chicrich.tsv	Berkshire	LOCATION
dialjournallitcrit19chicrich.tsv	Berkshire Hills	LOCATION
dialjournallitcrit15chicrich.tsv	Berlin	LOCATION
dialjournallitcrit16chicrich.tsv	Berlin Academy	LOCATION
dialjournallitcrit17chicrich.tsv	Berlioz	LOCATION
dialjournallitcrit16chicrich.tsv	Bermuda	LOCATION
dialjournallitcrit17chicrich.tsv	Bernardin	LOCATION
dialjournallitcrit18chicrich.tsv	Bernays	LOCATION
dialjournallitcrit19chicrich.tsv	Berne	LOCATION
dialjournallitcrit19chicrich.tsv	Bernese Oberland	LOCATION
dialjournallitcrit16chicrich.tsv	Bethel	LOCATION
dialjournallitcrit18chicrich.tsv	Bethesda	LOCATION
dialjournallitcrit15chicrich.tsv	Bethlehem	LOCATION
dialjournallitcrit15chicrich.tsv	Betterton	LOCATION
dialjournallitcrit19chicrich.tsv	Betty	LOCATION
dialjournallitcrit18chicrich.tsv	Beuve	LOCATION
dialjournallitcrit16chicrich.tsv	Beverly	LOCATION
dialjournallitcrit15chicrich.tsv	Bexar	LOCATION
dialjournallitcrit18chicrich.tsv	Beyrich	LOCATION
dialjournallitcrit16chicrich.tsv	Bfecuggion	LOCATION
dialjournallitcrit19chicrich.tsv	Bfeniission	LOCATION
dialjournallitcrit17chicrich.tsv	Bibarambla	LOCATION
dialjournallitcrit15chicrich.tsv	Bible	LOCATION
dialjournallitcrit17chicrich.tsv	Bible Lands	LOCATION
dialjournallitcrit15chicrich.tsv	Biele	LOCATION
dialjournallitcrit16chicrich.tsv	Bielefeld	LOCATION
dialjournallitcrit15chicrich.tsv	Bienville	LOCATION
dialjournallitcrit17chicrich.tsv	Bigcttssion	LOCATION
dialjournallitcrit19chicrich.tsv	Bigcussion	LOCATION
dialjournallitcrit18chicrich.tsv	Biloxi	LOCATION
dialjournallitcrit15chicrich.tsv	Biltmore	LOCATION
dialjournallitcrit19chicrich.tsv	Binghamton	LOCATION
dialjournallitcrit15chicrich.tsv	Birch	LOCATION
dialjournallitcrit15chicrich.tsv	Birmingham	LOCATION
dialjournallitcrit16chicrich.tsv	Bisctission	LOCATION
dialjournallitcrit15chicrich.tsv	Biscuggion	LOCATION
dialjournallitcrit16chicrich.tsv	Biscuggton	LOCATION
dialjournallitcrit17chicrich.tsv	Biscuggurn	LOCATION
dialjournallitcrit18chicrich.tsv	Bishop	LOCATION
dialjournallitcrit15chicrich.tsv	Bishop Wilberforce	LOCATION
dialjournallitcrit17chicrich.tsv	Bismarck	LOCATION
dialjournallitcrit19chicrich.tsv	Bismark	LOCATION
dialjournallitcrit16chicrich.tsv	Bisnission	LOCATION
dialjournallitcrit16chicrich.tsv	Bithynia	LOCATION
dialjournallitcrit17chicrich.tsv	Bjornstjerne	LOCATION
dialjournallitcrit16chicrich.tsv	Blackburn	LOCATION
dialjournallitcrit18chicrich.tsv	Blackheath	LOCATION
dialjournallitcrit18chicrich.tsv	Blackie	LOCATION
dialjournallitcrit16chicrich.tsv	Black Sea	LOCATION
dialjournallitcrit17chicrich.tsv	Blackwood	LOCATION
dialjournallitcrit17chicrich.tsv	Blasius	LOCATION
dialjournallitcrit19chicrich.tsv	Blatchford	LOCATION
dialjournallitcrit16chicrich.tsv	Bliss	LOCATION
dialjournallitcrit15chicrich.tsv	Blois	LOCATION
dialjournallitcrit19chicrich.tsv	Bloomington	LOCATION
dialjournallitcrit17chicrich.tsv	Bloomsbury	LOCATION
dialjournallitcrit15chicrich.tsv	Bo	LOCATION
dialjournallitcrit17chicrich.tsv	Boas	LOCATION
dialjournallitcrit15chicrich.tsv	Boccaccio	LOCATION
dialjournallitcrit16chicrich.tsv	Boccheiampe	LOCATION
dialjournallitcrit17chicrich.tsv	Boethius	LOCATION
dialjournallitcrit15chicrich.tsv	Bohemia	LOCATION
dialjournallitcrit17chicrich.tsv	Boileau	LOCATION
dialjournallitcrit18chicrich.tsv	Bokhara	LOCATION
dialjournallitcrit16chicrich.tsv	Bolivia	LOCATION
dialjournallitcrit17chicrich.tsv	Bolles	LOCATION
dialjournallitcrit15chicrich.tsv	Bologna	LOCATION
dialjournallitcrit19chicrich.tsv	Boma	LOCATION
dialjournallitcrit15chicrich.tsv	Bombay	LOCATION
dialjournallitcrit17chicrich.tsv	Bon	LOCATION
dialjournallitcrit17chicrich.tsv	Bonaparte	LOCATION
dialjournallitcrit15chicrich.tsv	Bonn	LOCATION
dialjournallitcrit19chicrich.tsv	Bon Pasteur	LOCATION
dialjournallitcrit18chicrich.tsv	Booth	LOCATION
dialjournallitcrit15chicrich.tsv	Bordeaux	LOCATION
dialjournallitcrit18chicrich.tsv	Borneo	LOCATION
dialjournallitcrit16chicrich.tsv	Boscawen	LOCATION
dialjournallitcrit15chicrich.tsv	Bosphorus	LOCATION
dialjournallitcrit15chicrich.tsv	Bossetti	LOCATION
dialjournallitcrit15chicrich.tsv	Boston	LOCATION
dialjournallitcrit16chicrich.tsv	Boston Athenaeum	LOCATION
